"Código";"Denominación";"Fecha";"Asiento";"Documento";"Concepto";"Ampliación";"Contrapartida";"CC";"Debe";"Haber";"s1";""
"2816000028";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL C/ BRAZOS";"31/01/2013";"136";"000120";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000028";"";"";"1,91";"-31,58";""
"2816000028";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL C/ BRAZOS";"28/02/2013";"333";"000120";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000028";"";"";"1,91";"-33,49";""
"2816000028";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL C/ BRAZOS";"31/03/2013";"519";"000120";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000028";"";"";"1,91";"-35,4";""
"2816000028";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL C/ BRAZOS";"30/04/2013";"686";"000120";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000028";"";"";"1,91";"-37,31";""
"2816000028";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL C/ BRAZOS";"31/05/2013";"861";"000120";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000028";"";"";"1,91";"-39,22";""
"2816000028";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL C/ BRAZOS";"30/06/2013";"1024";"000120";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000028";"";"";"1,91";"-41,13";""
"2816000028";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL C/ BRAZOS";"31/07/2013";"1182";"000120";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000028";"";"";"1,91";"-43,04";""
"2816000028";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL C/ BRAZOS";"31/08/2013";"1327";"000120";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000028";"";"";"1,91";"-44,95";""
"2816000028";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL C/ BRAZOS";"30/09/2013";"1483";"000120";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000028";"";"";"1,91";"-46,86";""
"2816000028";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL C/ BRAZOS";"31/10/2013";"1694";"000120";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000028";"";"";"1,91";"-48,77";""
"2816000028";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL C/ BRAZOS";"30/11/2013";"1888";"000120";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000028";"";"";"1,91";"-50,68";""
"2816000028";"AMORT. ACUM. 2 SILLAS GIOCONDA AZUL C/ BRAZOS";"31/12/2013";"2072";"000120";"8";"2 SILLAS GIOCONDA AZUL C/ BRAZ";"6816000028";"";"";"1,91";"-52,59";""
"2817000018";"AMORT.ACUM. SAI 500 VA ESTAB.";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"167,98";"-167,98";""
"2817000026";"AMORT. ACUM. CONTROLADORA 1510";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"60,11";"-60,11";""
"2817000052";"AMORT. ACUM. ROUTER CISCO 801";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"655,7";"-655,7";""
"2817000053";"AMORT. ACUM. IMPRESORA 122OPS";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"518,82";"-518,82";""
"2817000054";"AMORT. ACUM. HUB SMC 24 PUERTO";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"558,63";"-558,63";""
"2817000057";"AMORT. ACUM. PORTATIL ACER1400";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"1555,18";"-1555,18";""
"2817000062";"AMORT. ACUM. SERVIDOR PROLIANT";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"866,8";"-866,8";""
"2817000066";"AMORT. ACUM. BENQ 17" FP71G+";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"160";"-160";""
"2817000067";"AMORT. ACUM. BENQ 17" FP71G+";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"154,76";"-154,76";""
"2817000069";"AMORT. ACUM.PACKARD BELL IMEDIA D4807 SP + MONITOR 18,5" TFT";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"151,2";"-151,2";""
"2817000069";"AMORT. ACUM.PACKARD BELL IMEDIA D4807 SP + MONITOR 18,5" TFT";"31/01/2013";"136";"000117";"8";"PACKARD BELL IMEDIA D4807 SP +";"6817000069";"";"";"7,51";"-158,71";""
"2817000069";"AMORT. ACUM.PACKARD BELL IMEDIA D4807 SP + MONITOR 18,5" TFT";"28/02/2013";"333";"000117";"8";"PACKARD BELL IMEDIA D4807 SP +";"6817000069";"";"";"7,51";"-166,22";""
"2817000069";"AMORT. ACUM.PACKARD BELL IMEDIA D4807 SP + MONITOR 18,5" TFT";"31/03/2013";"519";"000117";"8";"PACKARD BELL IMEDIA D4807 SP +";"6817000069";"";"";"7,51";"-173,73";""
"2817000069";"AMORT. ACUM.PACKARD BELL IMEDIA D4807 SP + MONITOR 18,5" TFT";"30/04/2013";"686";"000117";"8";"PACKARD BELL IMEDIA D4807 SP +";"6817000069";"";"";"7,51";"-181,24";""
"2817000069";"AMORT. ACUM.PACKARD BELL IMEDIA D4807 SP + MONITOR 18,5" TFT";"31/05/2013";"861";"000117";"8";"PACKARD BELL IMEDIA D4807 SP +";"6817000069";"";"";"7,51";"-188,75";""
"2817000069";"AMORT. ACUM.PACKARD BELL IMEDIA D4807 SP + MONITOR 18,5" TFT";"30/06/2013";"1024";"000117";"8";"PACKARD BELL IMEDIA D4807 SP +";"6817000069";"";"";"7,51";"-196,26";""
"2817000069";"AMORT. ACUM.PACKARD BELL IMEDIA D4807 SP + MONITOR 18,5" TFT";"31/07/2013";"1182";"000117";"8";"PACKARD BELL IMEDIA D4807 SP +";"6817000069";"";"";"7,51";"-203,77";""
"2817000069";"AMORT. ACUM.PACKARD BELL IMEDIA D4807 SP + MONITOR 18,5" TFT";"31/08/2013";"1327";"000117";"8";"PACKARD BELL IMEDIA D4807 SP +";"6817000069";"";"";"7,51";"-211,28";""
"2817000069";"AMORT. ACUM.PACKARD BELL IMEDIA D4807 SP + MONITOR 18,5" TFT";"30/09/2013";"1483";"000117";"8";"PACKARD BELL IMEDIA D4807 SP +";"6817000069";"";"";"7,51";"-218,79";""
"2817000069";"AMORT. ACUM.PACKARD BELL IMEDIA D4807 SP + MONITOR 18,5" TFT";"31/10/2013";"1694";"000117";"8";"PACKARD BELL IMEDIA D4807 SP +";"6817000069";"";"";"7,51";"-226,3";""
"2817000069";"AMORT. ACUM.PACKARD BELL IMEDIA D4807 SP + MONITOR 18,5" TFT";"30/11/2013";"1888";"000117";"8";"PACKARD BELL IMEDIA D4807 SP +";"6817000069";"";"";"7,51";"-233,81";""
"2817000069";"AMORT. ACUM.PACKARD BELL IMEDIA D4807 SP + MONITOR 18,5" TFT";"31/12/2013";"2072";"000117";"8";"PACKARD BELL IMEDIA D4807 SP +";"6817000069";"";"";"7,51";"-241,32";""
"2817000071";"AMORT. ACUM. IMPRESORA OKI LASER MB280MFP";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"13,62";"-13,62";""
"2817000071";"AMORT. ACUM. IMPRESORA OKI LASER MB280MFP";"31/01/2013";"136";"000121";"8";"IMPRESORA OKI LASER MB280MFP";"6817000071";"";"";"1,04";"-14,66";""
"2817000071";"AMORT. ACUM. IMPRESORA OKI LASER MB280MFP";"28/02/2013";"333";"000121";"8";"IMPRESORA OKI LASER MB280MFP";"6817000071";"";"";"1,04";"-15,7";""
"2817000071";"AMORT. ACUM. IMPRESORA OKI LASER MB280MFP";"31/03/2013";"519";"000121";"8";"IMPRESORA OKI LASER MB280MFP";"6817000071";"";"";"1,04";"-16,74";""
"2817000071";"AMORT. ACUM. IMPRESORA OKI LASER MB280MFP";"30/04/2013";"686";"000121";"8";"IMPRESORA OKI LASER MB280MFP";"6817000071";"";"";"1,04";"-17,78";""
"2817000071";"AMORT. ACUM. IMPRESORA OKI LASER MB280MFP";"31/05/2013";"861";"000121";"8";"IMPRESORA OKI LASER MB280MFP";"6817000071";"";"";"1,04";"-18,82";""
"2817000071";"AMORT. ACUM. IMPRESORA OKI LASER MB280MFP";"30/06/2013";"1024";"000121";"8";"IMPRESORA OKI LASER MB280MFP";"6817000071";"";"";"1,04";"-19,86";""
"2817000071";"AMORT. ACUM. IMPRESORA OKI LASER MB280MFP";"31/07/2013";"1182";"000121";"8";"IMPRESORA OKI LASER MB280MFP";"6817000071";"";"";"1,04";"-20,9";""
"2817000071";"AMORT. ACUM. IMPRESORA OKI LASER MB280MFP";"31/08/2013";"1327";"000121";"8";"IMPRESORA OKI LASER MB280MFP";"6817000071";"";"";"1,04";"-21,94";""
"2817000071";"AMORT. ACUM. IMPRESORA OKI LASER MB280MFP";"30/09/2013";"1483";"000121";"8";"IMPRESORA OKI LASER MB280MFP";"6817000071";"";"";"1,04";"-22,98";""
"2817000071";"AMORT. ACUM. IMPRESORA OKI LASER MB280MFP";"31/10/2013";"1694";"000121";"8";"IMPRESORA OKI LASER MB280MFP";"6817000071";"";"";"1,04";"-24,02";""
"2817000071";"AMORT. ACUM. IMPRESORA OKI LASER MB280MFP";"30/11/2013";"1888";"000121";"8";"IMPRESORA OKI LASER MB280MFP";"6817000071";"";"";"1,04";"-25,06";""
"2817000071";"AMORT. ACUM. IMPRESORA OKI LASER MB280MFP";"31/12/2013";"2072";"000121";"8";"IMPRESORA OKI LASER MB280MFP";"6817000071";"";"";"1,04";"-26,1";""
"2817000072";"AMORT. ACUM. IMPRESORA HP LASERJET PRO 100 COLOR";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"53,78";"-53,78";""
"2817000072";"AMORT. ACUM. IMPRESORA HP LASERJET PRO 100 COLOR";"31/01/2013";"136";"000122";"8";"HP LASERJET PRO 100 C0L0R";"6817000072";"";"";"5,13";"-58,91";""
"2817000072";"AMORT. ACUM. IMPRESORA HP LASERJET PRO 100 COLOR";"28/02/2013";"333";"000122";"8";"HP LASERJET PRO 100 C0L0R";"6817000072";"";"";"5,13";"-64,04";""
"2817000072";"AMORT. ACUM. IMPRESORA HP LASERJET PRO 100 COLOR";"31/03/2013";"519";"000122";"8";"HP LASERJET PRO 100 C0L0R";"6817000072";"";"";"5,13";"-69,17";""
"2817000072";"AMORT. ACUM. IMPRESORA HP LASERJET PRO 100 COLOR";"30/04/2013";"686";"000122";"8";"HP LASERJET PRO 100 C0L0R";"6817000072";"";"";"5,13";"-74,3";""
"2817000072";"AMORT. ACUM. IMPRESORA HP LASERJET PRO 100 COLOR";"31/05/2013";"861";"000122";"8";"HP LASERJET PRO 100 C0L0R";"6817000072";"";"";"5,13";"-79,43";""
"2817000072";"AMORT. ACUM. IMPRESORA HP LASERJET PRO 100 COLOR";"30/06/2013";"1024";"000122";"8";"HP LASERJET PRO 100 C0L0R";"6817000072";"";"";"5,13";"-84,56";""
"2817000072";"AMORT. ACUM. IMPRESORA HP LASERJET PRO 100 COLOR";"31/07/2013";"1182";"000122";"8";"HP LASERJET PRO 100 C0L0R";"6817000072";"";"";"5,13";"-89,69";""
"2817000072";"AMORT. ACUM. IMPRESORA HP LASERJET PRO 100 COLOR";"31/08/2013";"1327";"000122";"8";"HP LASERJET PRO 100 C0L0R";"6817000072";"";"";"5,13";"-94,82";""
"2817000072";"AMORT. ACUM. IMPRESORA HP LASERJET PRO 100 COLOR";"30/09/2013";"1483";"000122";"8";"HP LASERJET PRO 100 C0L0R";"6817000072";"";"";"5,13";"-99,95";""
"2817000072";"AMORT. ACUM. IMPRESORA HP LASERJET PRO 100 COLOR";"31/10/2013";"1694";"000122";"8";"HP LASERJET PRO 100 C0L0R";"6817000072";"";"";"5,13";"-105,08";""
"2817000072";"AMORT. ACUM. IMPRESORA HP LASERJET PRO 100 COLOR";"30/11/2013";"1888";"000122";"8";"HP LASERJET PRO 100 C0L0R";"6817000072";"";"";"5,13";"-110,21";""
"2817000072";"AMORT. ACUM. IMPRESORA HP LASERJET PRO 100 COLOR";"31/12/2013";"2072";"000122";"8";"HP LASERJET PRO 100 C0L0R";"6817000072";"";"";"5,13";"-115,34";""
"2817000073";"AMORT. ACUM. EQUIPO HP P3300 SFF I3-2120 4GB 500GB + MONITOR";"01/01/2013";"1";"";"970";"APERTURA";"";"";"";"86,3";"-86,3";""
