"Cuenta";"Titulo";"aperturad";"aperturah";"Apertura";"AcumAnt_deudor";"AcumAnt_acreedor";"AcumPer_deudor";"AcumPer_acreedor";"Saldo_deudor";"Saldo_acreedor";"Saldo"
"7050000003";"PRESTACION DE SERVICIOS";"0";"0";"0";"0";"0";"0";"180";"";"180";"180.00H"
"7050000004";"DESPLAZAMIENTO";"0";"0";"0";"0";"0";"96";"3315";"";"3219";"3219.00H"
"7050000005";"SERVICIOS 1&1 - CLOUD DINAMICO";"0";"0";"0";"0";"0";"0";"550";"";"550";"550.00H"
"7050000006";"SERVICIOS SERVEISWEB";"0";"0";"0";"0";"0";"0";"2940";"";"2940";"2940.00H"
"7050000007";"SERVICIOS AFILNET - SMS";"0";"0";"0";"0";"0";"0";"15";"";"15";"15.00H"
"7050000008";"SERVICIOS ARICLINIC";"0";"0";"0";"0";"0";"0";"3960";"";"3960";"3960.00H"
"7050000009";"SERVICIOS 1&1 - MI WEB";"0";"0";"0";"0";"0";"0";"1926";"";"1926";"1926.00H"
"7050000010";"PRODUCTOS ALCATRAZ";"0";"0";"0";"0";"0";"0";"2190";"";"2190";"2190.00H"
"7080000001";"DEVOLUCION VENTAS";"0";"0";"0";"0";"0";"862,5";"0";"862,5";"";"862.50D"
"7690000001";"INGRESOS FINANCIERO "LA CAIXA"";"0";"0";"0";"0";"0";"0";"30,71";"";"30,71";"30.71H"
